oyun_adi,oyun_turu,gelistirici,puan,turkce_destegi,fiyat,yas,dil,ingilizce_destegi,dil_sayisi,platform
Star Ores Inc. - Supporter Pack,"Bilim Kurgu, 3D, Simülasyon, Yönetim, Otomasyon, Bağımsız, İnşa Etme, Kaynak Yönetimi, Keşif, Rahatlatıcı, Uzay, Kontrolcü, Birinci Şahıs, Üs İnşa Etme, Tek Oyunculu, Aile Dostu, Basit Eğlence, Madencilik, Fütürist, Uzay Simülasyonu",BlackBeak Games,,1,1.11,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BrezilyaPortekizcesi, GelenekselÇince, BasitleştirilmişÇince, Japonca, Korece, Lehçe, Portekizce-Portekiz, Rusça, Norveççe, Tayca, Çekçe",1,16.0,Steam
Glassbreakers - Frostborn Banner & Emblems,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Sihir, Taktiksel, Erken Erişim, Kumar, Çevrimiçi Eşli Oyun",Polyarc,,1,2.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Glassbreakers - Epic Crystalice Mask,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Erken Erişim, Sihir, Taktiksel, Kumar",Polyarc,,1,4.49,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Glassbreakers - Epic Arctic Star Mira Skin,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Erken Erişim, Sihir, Taktiksel, Kumar",Polyarc,,1,4.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Glassbreakers - Frosty Pack,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Erken Erişim, Sihir, Taktiksel, Kumar",Polyarc,,1,10.49,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Ayna Atölyesi - Bulut Makinası: Narial'ın Havagemileri,"Basit Eğlence, Görsel Roman, Bulmaca, Zengin Hikâye, Anime, Macera, Point & Click, Rahatlatıcı, Fantezi, Parodi, Kediler, Hikâye Tarzında, Zengin Evren, Doğaüstü, Lineer, 2D, Gerçeküstü, Sevimli, Minimalist, Renkli",Beşinci Kural A.Ş.,,1,2.49,0,"Türkçe, İngilizce",1,1.0,Steam
Backrooms Media,"Eşli, Çok Oyunculu, Basit Eğlence, Psikolojik Korku, Korku, Çevrimiçi Eşli Oyun, Hayatta Kalma - Korku, Birinci Şahıs, Keşif, Tek Oyunculu, Bölüm Düzenleyici, Kaçış Odası, Hayatta Kalma, Gerçekçi, 3D, PvE, Gerçeküstü, Atmosferik, Açık Dünya, Bilim Kurgu",NPK Games,,1,2.24,0,"Türkçe, İngilizce, Fransızca, Almanca, Japonca, Korece, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Ukraynaca, BrezilyaPortekizcesi, GelenekselÇince",1,11.0,Steam
Brawl Arena Shooter,"Aksiyon, Simülasyon, Nişancı, Bağımsız, Arena Nişancısı, PvP, Çok Oyunculu, Taktiksel, Rekabetçi, Devasa Çok Oyunculu, Savaş, Gerçek Zamanlı Taktik, Basit Eğlence, Kahraman Merkezli Nişancı, Üstten Görünüşlü Nişancı, 3D, Üstten Görünüş, Çatışma, Mermi Cehennemi, Tek Oyunculu","Yusuf Islam Seyhan, Samet Acar",,1,0.44,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, Bulgarca, Danca, Felemenkçe, Fince, GelenekselÇince, Japonca, Korece, Lehçe, Macarca, Norveççe, Portekizce-Portekiz, Rumence, Rusça, Tayca, Ukraynaca, Vietnamca, Yunanca, Çekçe, İsveççe",1,25.0,Steam
Ayna Atölyesi - Bulut Makinası: Buhar Şehri,"Basit Eğlence, Görsel Roman, Bulmaca, Zengin Hikâye, Anime, Macera, Point & Click, Rahatlatıcı, Fantezi, Parodi, Kediler, Hikâye Tarzında, Zengin Evren, Doğaüstü, Lineer, 2D, Gerçeküstü, Sevimli, Minimalist, Renkli",Beşinci Kural A.Ş.,,1,2.49,0,"Türkçe, İngilizce",1,1.0,Steam
Pallet Jack Racing,"Yarış, Basit Eğlence, Simülasyon, Spor, Aksiyon, Parti Oyunu, Aksiyon Macera, Savaşlı Yarış, 3D, Sevimli, Üçüncü Şahıs, Renkli, Araç Kullanma, Aile Dostu, Mantık, Komik, Duygusal, Komedi, PvP, Çatışma","Piece Of Voxel, Gamesforfarm",,1,0.71,0,"Türkçe, İngilizce, Rusça, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Bulgarca, Danca, GelenekselÇince, Korece, Felemenkçe, Norveççe, Lehçe, Portekizce-Portekiz, Ukraynaca, Fince, İsveççe, Japonca",1,18.0,Steam
Fixer Toolkit – Pencere ve Düzen Yöneticisi,"Yardımcı Uygulamalar, Bağımsız, Kontrolcü, Yazılım, Oyun",EMRE YARDIMCI,,1,1.94,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, BasitleştirilmişÇince, BrezilyaPortekizcesi, Bulgarca, Danca, Endonezce, Felemenkçe, Fince, GelenekselÇince, Japonca, Korece, LatinAmerikaİspanyolcası, Lehçe, Macarca, Norveççe, Portekizce-Portekiz, Rumence, Rusça, Tayca, Ukraynaca, Vietnamca, Yunanca, Çekçe, İsveççe",1,29.0,Steam
Survival Machine - Supporter Pack + Soundtrack,"Aksiyon, Macera, Bağımsız, Basit Eğlence",Grape Pickers,,1,2.99,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, Lehçe, Rusça, İtalyanca, Danca, Felemenkçe, Japonca, Korece, Norveççe, Portekizce-Portekiz, İsveççe, GelenekselÇince, BrezilyaPortekizcesi",1,17.0,Steam
Meyow,"Basit Eğlence, Kediler, Aksiyon, Sevimli, Ritim, Arcade, Çizgi Filmvari, Auto Battler, Shoot 'Em Up, 3D, Bağımsız, Renkli, Bullet Time, PvE, Tek Oyunculu",cnsgames,,1,0.44,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, BasitleştirilmişÇince, BrezilyaPortekizcesi, Bulgarca, Danca, Endonezce, Felemenkçe, Fince, GelenekselÇince, Japonca, Korece, LatinAmerikaİspanyolcası, Lehçe, Macarca, Norveççe, Portekizce-Portekiz, Rumence, Rusça, Tayca, Ukraynaca, Vietnamca, Yunanca, Çekçe, İsveççe",1,29.0,Steam
Frostpunk 2: Deluxe Edition Upgrade,"Strateji, Simülasyon, Şiddet",11 bit studios,,1,35.09,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca",1,13.0,Steam
Starium,"2D, Aksiyon RYO, Piksel Grafikler, Önemli Seçimler, Metroidvania, Keşif, Mermi Cehennemi, Aksiyon Roguelike, Bilim Kurgu, Karakter Kişiselleştirme, Uzaylılar, RYO, Sevimli, Açık Dünya, Zengin Hikâye, Uzay, Rogue-like, Aksiyon, Yerel Eşli Oyun, Tek Oyunculu",The Free Company,,1,1.74,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Felemenkçe, Portekizce-Portekiz, Lehçe, Rusça, Arapça, BrezilyaPortekizcesi, Filipince, Hintçe",1,13.0,Steam
Angeline Era,"Aksiyon Macera, Keşif, Lineer Olmayan, Hack and Slash, Çatışma, Fantezi, 3D, Macera, Bağımsız, Aksiyon, Mitoloji, Atmosferik, Retro, Komik, Tek Oyunculu, Kontrolcü, Alternatif Tarih, Renkli, Üstten Görünüş, Harika Müzik","Melos Han-Tani, Marina Kittaka, Analgesic Productions",95.0,1,15.57,0,"Türkçe, İngilizce, Japonca, BrezilyaPortekizcesi, LatinAmerikaİspanyolcası, Almanca, Rusça",1,6.0,Steam
Cozy Jigsaw Puzzles,"Basit Eğlence, İç Isıtıcı, Rahatlatıcı, Anime, Sevimli, Üstten Görünüş, Pozitif, Bulmaca, Aile Dostu, Elle Çizilmiş, Yerel Çok Oyunculu, Renkli, Yerel Eşli Oyun, Bağımsız, Stilize, 2D, Çizgi Filmvari, Eşli, Atmosferik, Tek Oyunculu",Dried Lemons,,1,2.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Bulgarca, Çekçe, Danca, Felemenkçe, Fince, Yunanca, Macarca, Endonezce, Japonca, Korece, Norveççe, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rumence, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, İsveççe, Tayca, GelenekselÇince, Ukraynaca, Vietnamca",1,29.0,Steam
Glassbreakers - Legendary Cactus Blade Chetlief Skin,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Erken Erişim, Sihir, Taktiksel, Kumar",Polyarc,,1,5.79,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Glassbreakers - Legendary Branchwielder Barnard Skin,"Strateji, MOBA, GZS, Gerçek Zamanlı Taktik, Birinci Şahıs, Fantezi, PvP, 6DOF, Karakter Kişiselleştirme, Altıgen Izgara, Masa Oyunları, Çok Oyunculu, Aksiyon, Sürükleyici, VR, Erken Erişim, Sihir, Taktiksel, Kumar",Polyarc,,1,5.79,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince",1,13.0,Steam
Your Second Wife – Supporter Pack,"Basit Eğlence, Bağımsız, Kadın Karakter, 2D, RYO, Tek Oyunculu, Kumar, Anime, FPS, Otomasyon, Sevimli, Rahatlatıcı, Masa Oyunları, Çizgi Roman",Kygua Tech,,1,1.19,0,"Türkçe, İngilizce, BasitleştirilmişÇince, GelenekselÇince, Japonca, Rusça, Korece, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Lehçe, Tayca, BrezilyaPortekizcesi, Portekizce-Portekiz, LatinAmerikaİspanyolcası, Vietnamca",1,16.0,Steam
The Enigma Lounge,"Bulmaca, Kaçış Odası, Basit Eğlence, Point & Click, İç Isıtıcı, Kısa, Zor, Gizem, Mantık, Atmosferik, Ambiyant, Minimalist, Piksel Grafikler, Eski Usul, Noir, Dedektif, Gizli Nesne, Zaman Manipülasyonu, Bağımsız, Tek Oyunculu",Seedborne,,1,2.49,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Bulgarca, Çekçe, Danca, Felemenkçe, Fince, Yunanca, Macarca, Endonezce, Japonca, Korece, Norveççe, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rumence, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, İsveççe, Tayca, GelenekselÇince, Ukraynaca, Vietnamca, Afrikaanca(GüneyAfrikadili), Arnavutça, Amharca, Ermenice, AssamDili, Azerice, Bangla, Baskça, Belarusça, Boşnakça, Katalanca, ÇerokiDili, Hırvatça, Darice, Estonca, Filipince, Galiçyaca, Gürcüce, Gucaratça, Hausaca, İbranice, Hintçe, İzlandaca, İgbodili, İrlandaca, Kiçece, Kannadadili, Kazakça, Kmerdili, Ruandaca, Konkanidili, Kırgızca, Letonca, Litvanyaca, Lüksemburgca, Makedonca, Malayca, Malayalamca, Maltaca, MaoriDili, MaratiDili, Moğolca, Nepalce, Oriyadili, Farsça, Pencapdili, Pencapdili(Shahmukhi), Keçuvadili, İskoçça, Sırpça, Sindhî, Seylanca, Slovakça, Slovence, Soranice, Sothodili, Svahili, TacikDili, Tamilce, Tatarca, Teluguca, Tigrinyadili, Tswanadili, Türkmence, Urduca, Uygurca, Özbekçe, Valensiyaca, Galce, Wolofdili, Xhosadili, Yorubaca, Zuluca",1,102.0,Steam
Meduziak,"Macera, Basit Eğlence, Point & Click, Bulmaca, Elle Çizilmiş, Renkli, Çizgi Filmvari, Sevimli, Aile Dostu, Komik, Atmosferik, Komedi, Su Altı, Rahatlatıcı, 2D, Mantık, Denizcilik, Retro, Çizgi Film, Lineer",Fieldfare Studios,,1,2.49,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Bulgarca, GelenekselÇince, BasitleştirilmişÇince, Çekçe, Danca, Fince, Yunanca, LatinAmerikaİspanyolcası, Felemenkçe, Japonca, Korece, Norveççe, Lehçe, Portekizce-Portekiz, BrezilyaPortekizcesi, Rusça, Rumence, İsveççe, Tayca, Ukraynaca, Vietnamca, Macarca, Afrikaanca(GüneyAfrikadili), Arnavutça, Amharca, AssamDili, Azerice, Baskça, Bangla, Belarusça, Boşnakça, Hırvatça, ÇerokiDili, Darice, Estonca, Filipince, Galiçyaca, Gürcüce, Gucaratça, Hausaca, İbranice, Hintçe, İgbodili, Endonezce, İrlandaca, İzlandaca, Yorubaca, Kannadadili, Katalanca, Kazakça, Keçuvadili, Kmerdili, Kiçece, Kırgızca, Konkanidili, Litvanyaca, Lüksemburgca, Makedonca, Malayalamca, Malayca, Maltaca, MaoriDili, MaratiDili, Moğolca, Nepalce, Oriyadili, Ermenice, Pencapdili, Pencapdili(Shahmukhi), Farsça, Ruandaca, İskoçça, Sırpça, Sindhî, Soranice, Sothodili, Svahili, Seylanca, Slovakça, Slovence, TacikDili, Tamilce, Tatarca, Teluguca, Tigrinyadili, Tswanadili, Türkmence, Uygurca, Urduca, Özbekçe, Valensiyaca, Galce, Wolofdili, Xhosadili, Zuluca, Letonca",1,102.0,Steam
Merlin Survivors,"Aksiyon Roguelike, Mermi Cehennemi, Souls-like, TPS, Aksiyon, Rogue-lite, Basit Eğlence, Nişancı, Arcade, Aksiyon Macera, Rogue-like, 3D, Renkli, Hayatta Kalma, Üretim, Çatışma, Tek Oyunculu, RYO, Bağımsız, Erken Erişim",winchesterDev,,1,1.04,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, BasitleştirilmişÇince, BrezilyaPortekizcesi, Bulgarca, Danca, Endonezce, Felemenkçe, Fince, GelenekselÇince, Japonca, Korece, LatinAmerikaİspanyolcası, Lehçe, Macarca, Norveççe, Portekizce-Portekiz, Rumence, Rusça, Tayca, Ukraynaca, Vietnamca, Yunanca, Çekçe, İsveççe, Hintçe, Bangla, Gucaratça, Hausaca, Kannadadili, MaratiDili, Tamilce, Teluguca, Urduca",1,38.0,Steam
Color Splash: Parrots,"Basit Eğlence, Bulmaca, Yaratık Toplama, Renkli, Atmosferik, Tek Oyunculu, Kısa, Stilize, Soyut, Tekrar Oynanabilir, Sevimli, Aile Dostu, Side Scroller, 2D, Eski Usul, Retro, Komik, Rahatlatıcı, Strateji, Bağımsız",Quantum Quiver Games,,1,0.55,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Bulgarca, Vietnamca, Yunanca, Danca, BasitleştirilmişÇince, GelenekselÇince, Korece, Norveççe, Felemenkçe, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, Rumence, Tayca, Macarca, Ukraynaca, Fince, Çekçe, İsveççe, Japonca, Endonezce, LatinAmerikaİspanyolcası, Azerice, Arnavutça, Amharca, AssamDili, Afrikaanca(GüneyAfrikadili), Baskça, Bangla, Boşnakça, Belarusça, Valensiyaca, Galce, Wolofdili, Ermenice, Galiçyaca, Gürcüce, Gucaratça, Hintçe, Darice, Estonca, Zuluca, Yorubaca, Kazakça, Kannadadili, Katalanca, Keçuvadili, Kırgızca, Konkanidili, Kmerdili, Xhosadili, Kiçece, Letonca, Litvanyaca, Lüksemburgca, Makedonca, Malayca, Malayalamca, Maltaca, MaoriDili, MaratiDili, Moğolca, Nepalce, Oriyadili, Pencapdili(Shahmukhi), Pencapdili, Farsça, Ruandaca, Sırpça, Sothodili, Seylanca, Sindhî, İskoçça, Slovakça, Slovence, Soranice, Svahili, TacikDili, Tamilce, Tatarca, Teluguca, Tigrinyadili, Tswanadili, Türkmence, Özbekçe, Uygurca, Urduca, Filipince, Hausaca, Hırvatça, ÇerokiDili, İbranice, İrlandaca, İzlandaca, İgbodili",1,102.0,Steam
Travellin Cats in Christmas - More Merry Levels,"Basit Eğlence, Kediler, Gizli Nesne, Pozitif, Bulmaca, İç Isıtıcı, Sevimli, Rahatlatıcı, Çizgi Filmvari, Elle Çizilmiş, Bağımsız, Minimalist, Collectathon, Yaratık Toplama, Point & Click, Keşif, Tek Oyunculu, Oynaması Ücretsiz, Kontrolcü, Zamana Karşı",Travellin Cats,,1,1.04,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Endonezce, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, Tayca, GelenekselÇince",1,16.0,Steam
Clothing Store Simulator,"Simülasyon, Yönetim, Ekonomi, Tek Oyunculu, Sürükleyici Simülasyon, Yaşam Simülatörü, Takas, Kapitalizm, Basit Eğlence, Rahatlatıcı, Aksiyon, Tasarım ve İllüstrasyon, 3D, Birinci Şahıs, Envanter Yönetimi, FPS, Kaynak Yönetimi, İnşa Etme, Gerçekçi, Bağımsız",Kiki Games,,1,3.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Arapça, Felemenkçe, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince, GelenekselÇince, Ukraynaca",1,16.0,Steam
Bloodface - Dark Knight DLC,"Aksiyon, Macera, RYO, Bağımsız",Iron Forge Games,,1,1.29,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, BrezilyaPortekizcesi, GelenekselÇince, Japonca, Korece, Lehçe, Macarca, Rusça, Ukraynaca, Çekçe, İsveççe",1,16.0,Steam
Bloodface,"RYO, Bağımsız, Aksiyon, Orta Çağ, Souls-like, Gerçekçi, Macera, Tek Oyunculu, Çatışma, Aksiyon Macera, Üstten Görünüş, Aksiyon RYO, Zengin Hikâye, Kılıçlı Dövüş, Kendi Maceranı Seç, 3D, Atmosferik, Savaş, 3D Dövüş, Kontrolcü",Iron Forge Games,,1,1.29,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, BrezilyaPortekizcesi, GelenekselÇince, Japonca, Korece, Lehçe, Macarca, Rusça, Ukraynaca, Çekçe, İsveççe",1,16.0,Steam
Barman Simulator,"Simülasyon, Yaşam Simülatörü, Sürükleyici Simülasyon, Birinci Şahıs, 3D, Gerçekçi, Takas, Envanter Yönetimi, Kaynak Yönetimi, Yönetim, Modern, Otomasyon, Bağımsız, Tek Oyunculu, Aşçılık",VirtualMind,,1,4.99,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, BasitleştirilmişÇince, GelenekselÇince, Korece, Japonca, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça",1,13.0,Steam
Comic Book Store Simulator,"Simülasyon, Sandbox, Zaman Yönetimi, 3D, Birinci Şahıs, Gerçekçi, Komedi, Ekonomi, Komik, Yönetim, Sohbet, Envanter Yönetimi, Lineer Olmayan, Fizik Tabanlı, Kaynak Yönetimi, Öğretici, Tek Oyunculu, Basit Eğlence, Bağımsız",Akhir Pekan Studio,75.0,1,4.99,0,"Türkçe, İngilizce, Endonezce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince",1,13.0,Steam
AFTERBLAST,"Erken Erişim, FPS, Çevrimiçi Eşli Oyun, Aksiyon Roguelike, Rogue-lite, Eşli, Aksiyon, Rogue-like, Nişancı, Çok Oyunculu, Looter Shooter, Bağımsız, Birinci Şahıs, Mermi Cehennemi, Boomer Shooter, Tek Oyunculu, Zor, Arcade, Çatışma, Fantezi",Lumino Games,78.0,1,6.39,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rusça, BasitleştirilmişÇince, LatinAmerikaİspanyolcası, GelenekselÇince, Danca, Felemenkçe, Fince, Macarca, Norveççe, İsveççe, Ukraynaca",1,21.0,Steam
Mini One-Line Drawing,"Basit Eğlence, 2D, Sadece Fare, Tek Oyunculu, Zor, Renkli, Soyut, Rahatlatıcı, Minimalist, Atmosferik, Bağımsız, Kısa, Strateji, Bulmaca, Dokunmatik Kontroller, Mantık, Tekrar Oynanabilir, Aile Dostu",Graph Game,,1,0.44,0,"Türkçe, İngilizce, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, Danca, Ukraynaca, Rusça, Bulgarca, Macarca, Endonezce, Yunanca, Norveççe, Çekçe, Japonca, Lehçe, Tayca, İsveççe, BasitleştirilmişÇince, GelenekselÇince, Rumence, Fince, Felemenkçe, BrezilyaPortekizcesi, Portekizce-Portekiz, LatinAmerikaİspanyolcası, Vietnamca, Arapça, Korece, Özbekçe, Urduca, Ermenice, İgbodili, Sindhî, Seylanca, Hırvatça, İzlandaca, ÇerokiDili, Galiçyaca, Katalanca, Afrikaanca(GüneyAfrikadili), Kannadadili, Lüksemburgca, Hintçe, Gucaratça, Kırgızca, Kazakça, Türkmence, Kiçece, Ruandaca, TacikDili, Sırpça, Oriyadili, Galce, Konkanidili, Bangla, Nepalce, Baskça, İbranice, Letonca, Tigrinyadili, Slovakça, Slovence, Svahili, Pencapdili, Pencapdili(Shahmukhi), Gürcüce, MaoriDili, Wolofdili, Boşnakça, Farsça, Teluguca, Tamilce, İrlandaca, Estonca, Valensiyaca, Belarusça, Keçuvadili, Zuluca, Xhosadili, Litvanyaca, Sothodili, Soranice, Yorubaca, Uygurca, İskoçça, Tswanadili, Filipince, Moğolca, Hausaca, Darice, Azerice, Amharca, Arnavutça, AssamDili, Tatarca, Makedonca, MaratiDili, Malayalamca, Malayca, Maltaca, Kmerdili",1,102.0,Steam
Sidequest Survivors,"Aksiyon Roguelike, Bağımsız, Mermi Cehennemi, Piksel Grafikler, Aksiyon, Rogue-lite, Tekrar Oynanabilir, 2D, Tek Oyunculu, RYO, PvE, Arcade, Hack and Slash, Rogue-like, Puan Yarışı, Fantezi, Retro, Aksiyon RYO, Sihir, Komik",Level One Quest,,1,5.79,0,"Türkçe, İngilizce, İtalyanca, Rumence, BasitleştirilmişÇince, Fransızca, Kastilyaİspanyolcası, BrezilyaPortekizcesi, Almanca, Rusça, Japonca, Ukraynaca, Lehçe, Korece",1,13.0,Steam
Pixel Puzzles Ultimate: Masquerade,"Bulmaca, Basit Eğlence, Strateji, Kutu Oyunu, Masa Oyunları, Simülasyon, 2D, Rahatlatıcı, Renkli, Aile Dostu, 4 Yerel Oyunculu, Eşli, Eşli Ana Görev, Yerel Eşli Oyun, Yerel Çok Oyunculu, Çok Oyunculu, Tek Oyunculu, Bağımsız, Zor, Oynaması Ücretsiz",Pixel Puzzles,,1,6.59,0,"Türkçe, İngilizce, Kastilyaİspanyolcası, LatinAmerikaİspanyolcası, BasitleştirilmişÇince, Almanca, GelenekselÇince, Fransızca, İtalyanca, Arapça, Bulgarca, Çekçe, Danca, Felemenkçe, Fince, Yunanca, Macarca, Endonezce, Japonca, Korece, Norveççe, Lehçe, BrezilyaPortekizcesi, Portekizce-Portekiz, Rumence, Rusça, İsveççe, Tayca, Ukraynaca, Vietnamca",1,29.0,Steam
Primal Fray,"Strateji, Sıra Tabanlı Strateji, Sıra Tabanlı Taktik, Rogue-lite, Sıra Tabanlı, Tek Oyunculu, Taktiksel, Rogue-like, Piksel Grafikler, Sıra Tabanlı Savaş, RYO, Prosedürel Oluşturma, Stratejik RYO, Fantezi, İzometrik, Altıgen Izgara, Yaratık Toplama, Atmosferik, Tekrar Oynanabilir, 2D",Imago,,1,3.95,0,"Türkçe, İngilizce, Lehçe, Fransızca, İtalyanca, Almanca, Kastilyaİspanyolcası, GelenekselÇince, BasitleştirilmişÇince, Rusça, BrezilyaPortekizcesi, Çekçe, Japonca, Portekizce-Portekiz, LatinAmerikaİspanyolcası, Ukraynaca, Vietnamca",1,16.0,Steam
Hunter's Moon: A Sovereign Syndicate Adventure - Digital Artbook,"Strateji, Macera, RYO",Crimson Herring Studios,,1,4.63,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Tayca, Ukraynaca",1,13.0,Steam
Hunter's Moon: A Sovereign Syndicate Adventure,"Roguelike Deste Oluşturma, Deste Oluşturma, Rogue-lite, Kart Oyunu, RYO, Kartlı Savaş, Strateji, Tek Oyunculu, Rogue-like, Zengin Hikâye, Sıra Tabanlı, Macera, Sıra Tabanlı Savaş, Sıra Tabanlı Strateji, PvE, Steampunk, 2D, Tekrar Oynanabilir, Korku, Lovecraft Temalı",Crimson Herring Studios,,1,9.26,0,"Türkçe, İngilizce, Fransızca, Almanca, Kastilyaİspanyolcası, Japonca, Korece, Lehçe, BrezilyaPortekizcesi, Rusça, BasitleştirilmişÇince, GelenekselÇince, Tayca, Ukraynaca",1,13.0,Steam
